timestamp,text,crisis_type,urgency_label
2024-02-07 11:09,Power out and trees down everywhere in Texas. This hurricane is no joke.,Hurricane,Low
2023-12-13 14:47,Massive explosion reported at the chemical plant in Texas. Stay away!,Explosion,Medium
2023-02-10 20:40,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,High
2024-04-08 15:58,Massive explosion reported at the chemical plant in Florida. Stay away!,Explosion,High
2023-01-07 21:09,"New variant detected in Brazil, authorities issue new safety guidelines.",Pandemic,Medium
2024-05-26 19:06,Evacuation orders in effect due to the fire near New York.,Wildfire,Low
2023-05-05 19:08,Vaccination centers in Nevada are overwhelmed with long queues.,Pandemic,High
2023-03-02 05:02,COVID-19 cases rising again in California. Please wear masks and stay safe.,Pandemic,Low
2023-12-30 23:39,Massive explosion reported at the chemical plant in Turkey. Stay away!,Explosion,Low
2024-09-07 13:12,Flash flood warning issued in Texas. Residents advised to evacuate.,Flood,Low
2023-11-12 23:07,"Hurricane approaching Nevada, winds are getting stronger by the minute.",Hurricane,Medium
2024-04-14 14:34,Heavy rains trigger landslides in hilly areas of Japan.,Landslide,Medium
2024-07-25 03:58,Massive earthquake reported near Japan. Buildings are damaged and people are panicking.,Earthquake,Medium
2023-08-30 05:22,"New variant detected in California, authorities issue new safety guidelines.",Pandemic,Low
2024-02-17 01:03,Black smoke billowing from the explosion site in Turkey.,Explosion,Medium
2024-09-16 17:56,Vaccination centers in Florida are overwhelmed with long queues.,Pandemic,Medium
2023-03-11 10:34,Just felt the ground shake in Philippines! Hope everyone's okay. #earthquake,Earthquake,Low
2024-10-13 13:36,Wildfire spreading rapidly through Florida. Stay safe everyone. #firealert,Wildfire,Low
2024-01-20 14:15,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,High
2023-01-31 23:38,Aftershocks continue to rattle Philippines following the initial quake.,Earthquake,High
2023-06-17 07:27,Major damage reported in Nevada after hurricane landfall. #storm,Hurricane,High
2023-06-03 22:46,"Water levels are rising fast in Philippines, homes are being flooded.",Flood,High
2024-10-18 06:53,Vaccination centers in Japan are overwhelmed with long queues.,Pandemic,Low
2024-09-24 03:26,Flash flood warning issued in Brazil. Residents advised to evacuate.,Flood,High
2024-05-19 02:36,"Landslide blocks main road in New York, travelers stranded.",Landslide,Low
2024-10-08 07:08,Evacuation orders in effect due to the fire near California.,Wildfire,High
2024-02-17 17:16,"Landslide blocks main road in India, travelers stranded.",Landslide,Low
2023-12-13 05:58,Vaccination centers in Brazil are overwhelmed with long queues.,Pandemic,High
2023-07-17 09:43,Flash flood warning issued in Philippines. Residents advised to evacuate.,Flood,High
2023-02-03 21:43,Sky is filled with smoke as forest fire rages in California.,Wildfire,Medium
2024-11-03 22:51,Black smoke billowing from the explosion site in Nevada.,Explosion,Medium
2023-02-24 03:19,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,Low
2024-05-13 09:15,Wildfire spreading rapidly through California. Stay safe everyone. #firealert,Wildfire,Medium
2024-11-04 23:46,Flash flood warning issued in Nevada. Residents advised to evacuate.,Flood,Low
