tweet_id,user_id,timestamp,text,crisis_type,location,relevance_label,urgency_label,informative_label
00001,u2824,2024-02-07 11:09,Power out and trees down everywhere in Texas. This hurricane is no joke.,Hurricane,Texas,1,Low,Not informative
00002,u1409,2023-12-13 14:47,Massive explosion reported at the chemical plant in Texas. Stay away!,Explosion,Texas,1,Medium,Not informative
00003,u5506,2023-02-10 20:40,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,California,0,High,Informative
00004,u5012,2024-04-08 15:58,Massive explosion reported at the chemical plant in Florida. Stay away!,Explosion,Florida,1,High,Unsure
00005,u4657,2023-01-07 21:09,"New variant detected in Brazil, authorities issue new safety guidelines.",Pandemic,Brazil,0,Medium,Not informative
00006,u3286,2024-05-26 19:06,Evacuation orders in effect due to the fire near New York.,Fire,New York,0,Low,Informative
00007,u2679,2023-05-05 19:08,Vaccination centers in Nevada are overwhelmed with long queues.,Pandemic,Nevada,0,High,Informative
00008,u9935,2023-03-02 05:02,COVID-19 cases rising again in California. Please wear masks and stay safe.,Pandemic,California,0,Low,Not informative
00009,u2424,2023-12-30 23:39,Massive explosion reported at the chemical plant in Turkey. Stay away!,Explosion,Turkey,0,Low,Not informative
00010,u7912,2024-09-07 13:12,Flash flood warning issued in Texas. Residents advised to evacuate.,Flood,Texas,0,Low,Unsure
00011,u1520,2023-11-12 23:07,"Hurricane approaching Nevada, winds are getting stronger by the minute.",Hurricane,Nevada,0,Medium,Informative
00012,u1488,2024-04-14 14:34,Heavy rains trigger landslides in hilly areas of Japan.,Landslide,Japan,1,Medium,Not informative
00013,u2535,2024-07-25 03:58,Massive earthquake reported near Japan. Buildings are damaged and people are panicking.,Earthquake,Japan,1,Medium,Unsure
00014,u4582,2023-08-30 05:22,"New variant detected in California, authorities issue new safety guidelines.",Pandemic,California,0,Low,Not informative
00015,u4811,2024-02-17 01:03,Black smoke billowing from the explosion site in Turkey.,Explosion,Turkey,1,Medium,Unsure
00016,u9279,2024-09-16 17:56,Vaccination centers in Florida are overwhelmed with long queues.,Pandemic,Florida,1,Medium,Informative
